@RELATION admission_stats

@ATTRIBUTE Subjnum REAL
@ATTRIBUTE gender {Male, Female, Unknown}
@ATTRIBUTE Firgen REAL
@ATTRIBUTE famincome REAL
@ATTRIBUTE SATCRDG REAL
@ATTRIBUTE SATMATH REAL
@ATTRIBUTE SATWRTG REAL
@ATTRIBUTE SATTotal REAL
@ATTRIBUTE HSGPA REAL
@ATTRIBUTE ACTRead REAL
@ATTRIBUTE ACTMath REAL
@ATTRIBUTE ACTEngWrit REAL
@ATTRIBUTE APIScore REAL
@ATTRIBUTE FirstLang {English, EnglishandAnother, Another}
@ATTRIBUTE HSGPAunweighted REAL
@ATTRIBUTE Firststyrunitsforgpa REAL
@ATTRIBUTE Firststyeartotcumunits REAL
@ATTRIBUTE Firstyrcumgpa {0, 1, 2, 3, 4}

@DATA
379.0,Female,300.0,28200.0,430.0,420.0,480.0,1330.0,4.22,14.0,18.0,16.0,1.0,English,3.86,38.0,41.0,1
387.0,Male,300.0,282000.0,570.0,580.0,480.0,1630.0,4.0,36.0,25.0,25.0,4.0,English,3.9,41.0,53.0,1
388.0,Female,300.0,52000.0,400.0,550.0,500.0,1450.0,3.55,16.0,23.0,15.0,7.0,EnglishandAnother,3.55,34.0,44.0,1
390.0,Female,0.0,94541.6985294,460.0,510.0,630.0,1600.0,3.87,8.0,19.0,22.0,5.88602941176,English,3.79,45.0,57.0,1
392.0,Male,0.0,110000.0,670.0,750.0,730.0,2150.0,3.87,29.0,33.0,25.0,8.0,Another,3.54,49.0,69.0,1
394.0,Female,300.0,13200.0,350.0,440.0,420.0,1210.0,3.85,9.0,16.0,13.0,1.0,English,3.75,32.0,32.0,1
396.0,Male,300.0,42000.0,480.0,320.0,460.0,1260.0,4.15,36.0,20.0,11.0,7.0,EnglishandAnother,3.73,40.0,78.5,1
416.0,Female,0.0,185389.0,510.0,640.0,560.0,1710.0,3.72,36.0,22.0,29.0,9.0,English,3.63,45.0,45.0,1
421.0,Male,0.0,25000.0,720.0,650.0,610.0,1980.0,3.52,36.0,33.0,31.0,9.0,English,3.28,45.0,61.0,1
435.0,Male,0.0,200000.0,620.0,680.0,560.0,1860.0,3.28,27.0,26.0,26.0,5.88602941176,EnglishandAnother,3.07,47.0,81.0,1
436.0,Female,0.0,180000.0,590.0,570.0,560.0,1720.0,3.66944852941,36.0,27.0,25.0,5.88602941176,EnglishandAnother,3.43898897059,48.0,69.0,1
443.0,Male,0.0,94541.6985294,570.0,600.0,610.0,1780.0,3.9,8.0,25.0,27.0,8.0,English,3.7,42.0,55.0,1
451.0,Male,0.0,148000.0,480.0,640.0,520.0,1640.0,3.95,23.0,28.0,25.0,10.0,English,3.87,40.0,49.0,1
455.0,Female,0.0,94541.6985294,0.0,470.0,0.0,1563.76838235,3.4,17.0,23.0,22.0,8.0,Another,3.31,42.0,47.0,1
458.0,Male,300.0,17000.0,500.0,650.0,630.0,1780.0,4.35,22.0,27.0,25.0,3.0,Another,3.95,47.0,63.0,1
469.0,Female,300.0,30000.0,0.0,650.0,0.0,1563.76838235,3.56,26.0,15.0,26.0,9.0,English,3.51,52.0,64.5,1
473.0,Female,0.0,100000.0,650.0,650.0,590.0,1890.0,4.14,36.0,31.0,31.0,5.88602941176,EnglishandAnother,3.95,44.0,49.0,1
476.0,Female,300.0,68000.0,570.0,450.0,580.0,1600.0,4.12,36.0,25.0,19.0,4.0,EnglishandAnother,3.79,48.0,64.0,1
477.0,Male,0.0,450000.0,660.0,670.0,580.0,1910.0,3.94,36.0,31.0,31.0,9.0,English,3.68,42.0,70.5,1
483.0,Male,0.0,50000.0,560.0,500.0,610.0,1670.0,4.08,36.0,25.0,22.0,5.88602941176,English,3.91,35.0,69.0,1
484.0,Male,0.0,80000.0,620.0,580.0,630.0,1830.0,3.87,31.0,24.0,26.0,5.88602941176,English,3.54,44.0,64.0,1
487.0,Female,300.0,37000.0,450.0,400.0,420.0,1270.0,3.7,21.0,16.0,14.0,2.0,Another,3.5,40.0,67.0,1
488.0,Female,300.0,10560.0,430.0,490.0,450.0,1370.0,3.72,36.0,16.0,20.0,9.0,Another,3.54,40.0,49.0,1
489.0,Male,0.0,155000.0,620.0,680.0,730.0,2030.0,3.54,36.0,29.0,32.0,10.0,English,3.2,42.0,102.0,1
492.0,Female,0.0,23000.0,520.0,610.0,570.0,1700.0,4.0,36.0,22.0,27.0,8.0,English,3.81,47.0,53.5,1
495.0,Male,0.0,94541.6985294,0.0,0.0,740.0,1563.76838235,3.65,34.0,33.0,31.0,10.0,English,3.25,49.0,59.0,1
499.0,Female,0.0,50000.0,720.0,570.0,540.0,1830.0,3.0,31.0,25.0,25.0,10.0,EnglishandAnother,2.8,45.0,61.0,1
502.0,Male,0.0,140000.0,560.0,690.0,700.0,1950.0,3.52,36.0,25.0,32.0,8.0,EnglishandAnother,3.14,54.0,89.5,1
503.0,Female,300.0,20539.0,450.0,490.0,600.0,1540.0,4.03,36.0,19.0,20.0,6.0,Another,3.74,42.0,50.0,1
507.0,Female,300.0,61569.0,550.0,580.0,640.0,1770.0,3.72,36.0,24.0,25.0,8.0,EnglishandAnother,3.45,39.0,64.0,1
512.0,Female,300.0,70000.0,0.0,0.0,0.0,1563.76838235,3.6,29.0,28.0,26.0,10.0,English,3.36,48.0,68.0,1
515.0,Male,0.0,250000.0,420.0,590.0,500.0,1510.0,3.66944852941,36.0,16.0,27.0,5.88602941176,Another,3.43898897059,40.0,56.0,1
520.0,Female,300.0,70000.0,560.0,660.0,640.0,1860.0,4.16,36.0,25.0,31.0,8.0,English,4.0,44.0,60.0,1
524.0,Female,300.0,53760.0,560.0,470.0,520.0,1550.0,3.66944852941,36.0,25.0,20.0,10.0,EnglishandAnother,3.43898897059,40.0,51.0,1
527.0,Male,0.0,50000.0,514.650735294,566.875,546.121323529,1563.76838235,3.59,29.9889705882,25.1636029412,24.9411764706,8.0,Another,3.5,45.0,30.0,1
536.0,Male,300.0,15000.0,620.0,680.0,620.0,1920.0,3.82,23.0,28.0,22.0,5.0,English,3.53,57.0,86.0,1
538.0,Male,300.0,29000.0,310.0,440.0,370.0,1120.0,3.5,36.0,9.0,19.0,2.0,Another,3.5,40.0,45.0,1
541.0,Female,300.0,31270.0,580.0,560.0,570.0,1710.0,3.95,28.0,26.0,27.0,7.0,EnglishandAnother,3.68,47.0,67.0,1
546.0,Male,300.0,33669.0,590.0,610.0,600.0,1800.0,3.54,30.0,26.0,25.0,8.0,EnglishandAnother,3.54,42.0,63.0,1
559.0,Male,0.0,7800.0,610.0,700.0,560.0,1870.0,3.58,36.0,27.0,32.0,10.0,English,3.41,48.0,60.0,1
565.0,Female,300.0,35000.0,510.0,550.0,500.0,1560.0,3.7,36.0,22.0,24.0,5.0,EnglishandAnother,3.62,40.0,45.0,1
569.0,Male,300.0,108000.0,570.0,700.0,630.0,1900.0,4.09,36.0,25.0,32.0,5.88602941176,English,3.81,48.0,80.0,1
574.0,Female,300.0,244000.0,520.0,380.0,580.0,1480.0,3.58,36.0,22.0,14.0,5.88602941176,EnglishandAnother,3.41,47.0,42.0,1
589.0,Male,300.0,40000.0,0.0,740.0,0.0,1563.76838235,3.79,31.0,28.0,24.0,2.0,EnglishandAnother,3.54,43.0,71.0,1
592.0,Female,300.0,45000.0,640.0,490.0,620.0,1750.0,3.38,36.0,29.0,20.0,5.0,English,3.27,45.0,53.0,1
607.0,Female,0.0,110000.0,580.0,630.0,610.0,1820.0,3.52,36.0,25.0,29.0,8.0,English,3.38,45.0,51.0,1
610.0,Female,300.0,94541.6985294,520.0,470.0,520.0,1510.0,3.83,21.0,25.0,23.0,7.0,Another,3.66,45.0,53.0,1
611.0,Female,0.0,95000.0,490.0,640.0,500.0,1630.0,3.84,19.0,27.0,21.0,6.0,English,3.53,49.0,84.0,1
612.0,Male,0.0,158260.0,640.0,600.0,550.0,1790.0,3.91,36.0,29.0,27.0,9.0,English,3.56,45.0,64.5,1
613.0,Female,300.0,67000.0,530.0,530.0,540.0,1600.0,3.67,25.0,23.0,19.0,5.88602941176,EnglishandAnother,3.58,47.0,55.5,1
615.0,Female,0.0,94541.6985294,630.0,530.0,620.0,1780.0,3.84,8.0,29.0,24.0,10.0,English,3.76,45.0,61.0,1
621.0,Female,0.0,145000.0,0.0,740.0,560.0,1563.76838235,3.91,31.0,24.0,26.0,7.0,English,3.58,45.0,71.0,1
643.0,Male,0.0,570000.0,620.0,660.0,530.0,1810.0,3.81,28.0,29.0,23.0,8.0,EnglishandAnother,3.45,50.0,66.0,1
651.0,Female,300.0,80000.0,500.0,430.0,470.0,1400.0,3.63,18.0,21.0,20.0,6.0,EnglishandAnother,3.27,42.0,58.0,1
654.0,Female,300.0,55000.0,430.0,510.0,430.0,1370.0,3.79,21.0,23.0,22.0,6.0,EnglishandAnother,3.7,47.0,55.0,1
