@relation 'admission_stats-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-R1-2,13'

@attribute famincome numeric
@attribute SATCRDG numeric
@attribute SATMATH numeric
@attribute SATWRTG numeric
@attribute SATTotal numeric
@attribute HSGPA numeric
@attribute ACTRead numeric
@attribute ACTMath numeric
@attribute ACTEngWrit numeric
@attribute APIScore numeric
@attribute HSGPAunweighted numeric
@attribute Firststyrunitsforgpa numeric
@attribute Firststyeartotcumunits numeric
@attribute Firstyrcumgpa {0,1,2,3,4}

@data
0.01056,0.339286,0.446429,0.416667,0.36,0.742424,0.057413,0.055889,0.054853,0.888889,0.794643,0.460526,0.30719,1
0.155,0.678571,0.785714,0.883333,0.8,0.674242,0.057413,0.055889,0.054853,1,0.642857,0.486842,0.653595,1
0.023,0.5,0.660714,0.616667,0.58,0.848485,0.057413,0.055889,0.054853,0.777778,0.915179,0.552632,0.336601,1
0.094542,0.490448,0.518448,0.531311,0.489179,0.715909,0.927749,0.891402,0.853994,1,0.665179,0.578947,0.372549,1
0.05,0.857143,0.589286,0.566667,0.666667,0.469697,0.819372,0.601807,0.634985,1,0.464286,0.526316,0.385621,1
0.14,0.571429,0.803571,0.833333,0.746667,0.666667,0.057413,0.055889,0.054853,0.777778,0.616071,0.644737,0.571895,1
0.020539,0.375,0.446429,0.666667,0.473333,0.859848,0.057413,0.055889,0.054853,0.555556,0.883929,0.486842,0.313725,1
0.061569,0.553571,0.607143,0.733333,0.626667,0.742424,0.057413,0.055889,0.054853,0.777778,0.754464,0.447368,0.405229,1
0.07,0.490448,0.518448,0.531311,0.489179,0.69697,0.74712,0.710405,0.671487,1,0.714286,0.565789,0.431373,1
0.25,0.321429,0.625,0.5,0.453333,0.723276,0.057413,0.055889,0.054853,0.542892,0.749549,0.460526,0.352941,1
0.07,0.571429,0.75,0.733333,0.686667,0.909091,0.057413,0.055889,0.054853,0.777778,1,0.513158,0.379085,1
0.05376,0.571429,0.410714,0.533333,0.48,0.723276,0.057413,0.055889,0.054853,1,0.749549,0.460526,0.320261,1
0.05,0.490448,0.518448,0.531311,0.489179,0.693182,0.057413,0.055889,0.054853,0.777778,0.776786,0.526316,0.183007,1
0.015,0.678571,0.785714,0.7,0.726667,0.780303,0.530366,0.710405,0.525481,0.444444,0.790179,0.684211,0.54902,1
