@relation admission_stats-weka.filters.unsupervised.attribute.Remove-R15-16-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.ReplaceMissingValues

@attribute gender {Male,Female,Unknown}
@attribute Firgen numeric
@attribute famincome numeric
@attribute SATCRDG numeric
@attribute SATMATH numeric
@attribute SATWRTG numeric
@attribute SATTotal numeric
@attribute HSGPA numeric
@attribute ACTRead numeric
@attribute ACTMath numeric
@attribute ACTEngWrit numeric
@attribute APIScore numeric
@attribute FirstLang {English,EnglishandAnother,Another}
@attribute HSGPAunweighted numeric
@attribute Firstyrcumgpa {0,1,2,3,4}

@data
Male,1,0.04,0.625,0.375,0.533333,0.486667,0.848485,0.571786,0.517127,0.537006,0.666667,EnglishandAnother,0.875,3
Female,0,0.014,0.561603,0.589212,0.590667,0.565904,0.640152,0.296296,0.166667,0.192308,0.111111,Another,0.620536,3
Female,1,0.027,0.464286,0.446429,0.516667,0.446667,0.791667,0.571786,0.517127,0.537006,0.111111,EnglishandAnother,0.754464,3
Female,1,0.048,0.339286,0.517857,0.433333,0.393333,0.829545,0.571786,0.517127,0.537006,0.333333,Another,0.816964,4
Female,1,0.01,0.464286,0.482143,0.466667,0.44,0.727273,0.571786,0.517127,0.537006,0.111111,EnglishandAnother,0.741071,1
Female,0,0.23,0.589286,0.714286,0.75,0.686667,0.69697,0.571786,0.517127,0.537006,1,Another,0.727679,2
Female,0,0.13,0.803571,0.732143,0.75,0.773333,0.943182,0.571786,0.517127,0.537006,0.333333,English,0.933036,0
Male,1,0.110746,0.5,0.589286,0.466667,0.493333,0.662879,0.444444,0.583333,0.5,0.333333,EnglishandAnother,0.665179,3
Female,0,0.15,0.660714,0.732143,0.75,0.72,0.924242,0.571786,0.517127,0.537006,0.333333,English,0.941964,0
Female,0,0.09,0.660714,0.75,0.7,0.706667,0.965909,0.814815,0.666667,0.692308,0.666667,Another,0.977679,2
Male,1,0.03,0.285714,0.446429,0.566667,0.4,0.640152,0.571786,0.517127,0.537006,0.222222,Another,0.59375,3
Male,0,0.4,0.678571,0.660714,0.683333,0.673333,0.704545,0.571786,0.517127,0.537006,1,English,0.71875,1
Male,0,0.114737,0.803571,0.839286,0.783333,0.826667,0.742424,0.571786,0.517127,0.537006,0.888889,English,0.754464,0
Male,1,0.09,0.561603,0.589212,0.590667,0.565904,0.617424,0.62963,0.875,0.769231,1,EnglishandAnother,0.629464,2
Male,0,0.145,0.642857,0.553571,0.716667,0.633333,0.753788,0.740741,0.583333,0.615385,0.777778,English,0.709821,1
Female,0,0.4,0.571429,0.625,0.583333,0.58,0.863636,0.62963,0.541667,0.538462,0.555556,English,0.866071,1
Female,0,0.09302,0.561603,0.589212,0.590667,0.565904,0.784091,0.666667,0.541667,0.769231,0.623153,English,0.776786,2
